exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
experimento,10,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,9477521,77043749
experimento,1,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,8164380,75869955
experimento,2,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,8985802,74639705
experimento,3,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,7865009,77164597
experimento,4,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,8842479,76703719
experimento,5,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,8433643,77538875
experimento,6,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,8670301,78351288
experimento,7,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,8726290,75870907
experimento,8,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,8666429,76974277
experimento,9,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,7988482,75083414
experimento,10,vectoradd,1048576,STATIC,128,2,OMP,2,1048576,9691927,77252445
experimento,1,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,9208130,76594575
experimento,2,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,8148518,77442042
experimento,3,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,9377174,78864645
experimento,4,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,7745076,78720973
experimento,5,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,8120031,76516177
experimento,6,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,7957692,77593338
experimento,7,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,9219083,77537757
experimento,8,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,7988004,76670724
experimento,9,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,7894511,78800120
experimento,10,vectoradd,1048576,STATIC,256,2,OMP,2,1048576,8666176,77803632
experimento,1,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,8091064,7009373
experimento,2,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,7505313,6531138
experimento,3,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6104259,8415678
experimento,4,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,8177405,7990602
experimento,5,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,8088050,6710551
experimento,6,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,8873800,8343337
experimento,7,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,8730983,7622380
experimento,8,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,6533311,7855131
experimento,9,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,5517534,7522514
experimento,10,vectoradd,1048576,DYNAMIC,16,2,OMP,2,1048576,8081084,6848341
experimento,1,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,8400766,5326955
experimento,2,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,8679363,5703413
experimento,3,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,7776146,8421957
experimento,4,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,8286205,5710220
experimento,5,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6251852,8620116
experimento,6,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6715750,6544417
experimento,7,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,7206694,4996706
experimento,8,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,8487762,7361354
experimento,9,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,5914752,7468425
experimento,10,vectoradd,1048576,DYNAMIC,32,2,OMP,2,1048576,6509643,5021581
experimento,1,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,9340176,6400575
experimento,2,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6726078,7812840
experimento,3,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6125936,8476859
experimento,4,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,8858514,5257651
experimento,5,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,9072353,7236821
experimento,6,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,7430424,5529170
experimento,7,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,8523124,5336537
experimento,8,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,6243614,4362097
experimento,9,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,7407281,6725654
experimento,10,vectoradd,1048576,DYNAMIC,64,2,OMP,2,1048576,8457929,4406654
experimento,1,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,8218304,3996136
experimento,2,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,8664365,4189776
experimento,3,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,6158706,4107137
experimento,4,vectoradd,1048576,DYNAMIC,128,2,OMP,2,1048576,7253095,6860373
